id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info,novedad
60_2,Pan de molde y otras especialidades,Pan de molde blanco familiar Hacendado,Paquete 26 rebanadas (820 g),"1,18 €",,https://prod-mercadona.imgix.net/images/84cbbb09e0aaec1b17a520a4b171247e.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/69f7a90e8716fb68481c792bfcefd803.jpg?fit=crop&h=600&w=600,"Pan de molde blanco familiar Hacendado, Paquete, 26 rebanadas (820 g), 1,18€ por Unidad",False
60_3,Pan de molde y otras especialidades,Pan de molde blanco Hacendado,Paquete 16 rebanadas (460 g),"0,80 €",,https://prod-mercadona.imgix.net/images/37367d7a79c63686cbdb1cdad6b5e927.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/0caf78c382f74e321d4aa1f04108cffd.jpg?fit=crop&h=600&w=600,"Pan de molde blanco Hacendado, Paquete, 16 rebanadas (460 g), 0,80€ por Unidad",False
60_4,Pan de molde y otras especialidades,Pan de molde 100% integral familiar Hacendado,Paquete 26 rebanadas (820 g),"1,18 €",,https://prod-mercadona.imgix.net/images/bb4bc87dd5cde05303b1e222c2131fb0.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/90fded3e3f9bf16688afdbe7c464aee7.jpg?fit=crop&h=600&w=600,"Pan de molde 100% integral familiar Hacendado, Paquete, 26 rebanadas (820 g), 1,18€ por Unidad",False
60_5,Pan de molde y otras especialidades,Pan de molde 100% integral Hacendado,Paquete 16 rebanadas (460 g),"0,90 €",,https://prod-mercadona.imgix.net/images/4257949726923aaa0bbdef3e1e90f753.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/924253a1e74e202444a35e7bf273e553.jpg?fit=crop&h=600&w=600,"Pan de molde 100% integral Hacendado, Paquete, 16 rebanadas (460 g), 0,90€ por Unidad",False
60_6,Pan de molde y otras especialidades,Pan de molde 100% integral sin corteza Hacendado,Paquete 16 rebanadas (450 g),"1,23 €",,https://prod-mercadona.imgix.net/images/3c3a0ceabc49c8022b255bb92751d3d5.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/bb6367ecad9b4c5f633884908a7dc8cc.jpg?fit=crop&h=600&w=600,"Pan de molde 100% integral sin corteza Hacendado, Paquete, 16 rebanadas (450 g), 1,23€ por Unidad",False
60_7,Pan de molde y otras especialidades,Pan de molde blanco natural rústico Hacendado,Paquete 14 rebanadas (550 g),"1,51 €",,https://prod-mercadona.imgix.net/images/f959357511174b86d32065978125d81e.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/df614b8b87fdf9bd1285f66df0fe9f1c.jpg?fit=crop&h=600&w=600,"Pan de molde blanco natural rústico Hacendado, Paquete, 14 rebanadas (550 g), 1,51€ por Unidad",False
60_8,Pan de molde y otras especialidades,Pan de molde blanco rebanada gruesa Hacendado,Paquete 16 rebanadas (820 g),"1,70 €",,https://prod-mercadona.imgix.net/images/36c7da80953cdce669a40896b9b4acaf.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/cce7c6fb054c8a5c48a7e6d9a1c83b69.jpg?fit=crop&h=600&w=600,"Pan de molde blanco rebanada gruesa Hacendado, Paquete, 16 rebanadas (820 g), 1,70€ por Unidad",False
60_9,Pan de molde y otras especialidades,Pan de molde cereales sin gluten Hacendado,Paquete 14 rebanadas (470 g),"2,74 €",,https://prod-mercadona.imgix.net/images/60cd712bd127e8eabac9ae2b7a5a73d4.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/ca5f2ffd52d231197847ff0add22456e.jpg?fit=crop&h=600&w=600,"Pan de molde cereales sin gluten Hacendado, Paquete, 14 rebanadas (470 g), 2,74€ por Unidad",False
60_10,Pan de molde y otras especialidades,Pan de molde sin gluten blanco Hacendado,Paquete 14 rebanadas (500 g),"2,74 €",,https://prod-mercadona.imgix.net/images/4b2fd6f2a42c76ccb71db2be51fa7ec5.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/e325a27d04ef3cedda037e039d2c45de.jpg?fit=crop&h=600&w=600,"Pan de molde sin gluten blanco Hacendado, Paquete, 14 rebanadas (500 g), 2,74€ por Unidad",False
60_11,Pan de molde y otras especialidades,Pan 5 semillas,Paquete 500 g,"1,50 €",,https://prod-mercadona.imgix.net/images/b5cb45757818023d59a9e7e39d90fd06.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/8724aa8f0833eece4a3422971b31e085.jpg?fit=crop&h=600&w=600,"Pan 5 semillas, Paquete, 500 Gramos, 1,50€ por Unidad",False
