id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
57,Postres de soja,Postre de soja Hacendado natural,4 ud. x 100 g,"1,20 €",,https://prod-mercadona.imgix.net/images/951718d16468bd7622785bc9732bb43a.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/be9b4b326e287986dc7186c64696a729.jpg?fit=crop&h=300&w=300
58,Postres de soja,Postre de coco Natural Alpro,Bote 350 g,"2,60 €",,https://prod-mercadona.imgix.net/images/49f50ed2c689408eaae3a9a210a29cfe.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/db96b7d80c8f89ea540f4511c9b2925f.jpg?fit=crop&h=300&w=300
59,Postres de soja,Postre de soja Skyr Style +Proteínas Alpro sabor fresa,Bote 400 g,"2,60 €",,https://prod-mercadona.imgix.net/images/882cec8acec8499089d20af5e547741e.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/1e681d3060769594897fceeb59dbdac7.jpg?fit=crop&h=300&w=300
60,Postres de soja,Postre de soja sabor arándanos Alpro,Bote 400 g,"2,30 €",,https://prod-mercadona.imgix.net/images/7398aab4c8fa863c3e109df7f0167db6.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/26445b7dc72eeeedc0d796b1ddd79a75.jpg?fit=crop&h=300&w=300
61,Yogures y postres infantiles,Petit de bolsillo de fresa Hacendado,Caja 4 ud. (360 g),"1,66 €",,https://prod-mercadona.imgix.net/images/1e81ea84693b81132bc68b1c8000ec43.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/0092a8a3031339c9ab392da6f311e2be.jpg?fit=crop&h=300&w=300
62,Yogures y postres infantiles,Danonino sabor fresa Danone,6 ud. x 50 g,"1,35 €","1,35 €",https://prod-mercadona.imgix.net/images/e82093b0b187272b72050dd3de16f81d.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/fd2fb13a8ca2676caeb908b7a99c4bfd.jpg?fit=crop&h=300&w=300
63,Yogures y postres infantiles,Danonino sabor fresa y plátano Danone,6 ud. x 50 g,"1,35 €","1,35 €",https://prod-mercadona.imgix.net/images/87fe37417c6d7176175c21eae4f23b15.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/46fb9dff0785023536492dbaa8b34f66.jpg?fit=crop&h=300&w=300
64,Yogures y postres infantiles,Petit sabores Hacendado,12 ud. x 60 g,"1,41 €",,https://prod-mercadona.imgix.net/images/db331b2e61d371272cea030ea49101f3.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/db331b2e61d371272cea030ea49101f3.jpg?fit=crop&h=600&w=600
65,Yogures y postres infantiles,Petit Nesquik Nestlé,6 ud. x 60 g,"1,85 €",,https://prod-mercadona.imgix.net/images/f819e859580812aa746ae8e2f2c91aa6.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/3494304d6c725469108f9581012a171f.jpg?fit=crop&h=300&w=300
66,Yogures y postres infantiles,Postre lácteo infantil de fresa y plátano Hacendado +8 meses,1 ud. (100 g),"0,95 €",,https://prod-mercadona.imgix.net/images/009536a37d447e65621782ae12398d36.jpg?fit=crop&h=300&w=300,https://prod-mercadona.imgix.net/images/fc21aa8dde05de4f793a67b83afd60fe.jpg?fit=crop&h=300&w=300
